datetime,NetPosUsd,NetUsdPnL,AbsVolume,Mid
2014.02.19T18:00:00.000,1035536.895,-901.1899085,602157.285,1.375215
2014.02.19T19:00:00.000,795855.765,-450.7989742,186553.41,1.374535
2014.02.19T20:00:00.000,589555.395,-225.8854426,332995.98,1.374255
2014.02.19T21:00:00.000,725083.92,-442.2881527,1389619.845,1.373265
2014.02.19T22:00:00.000,848702.49,20.97945353,158908.48,1.373305
2014.02.19T23:00:00.000,1091737.725,-73.20506545,357534.075,1.373255
2014.02.20T00:00:00.000,1151909.245,-251.9394012,24805.43,1.372955
2014.02.20T01:00:00.000,1138826.315,650.1506226,171181.4,1.373735
2014.02.20T02:00:00.000,1066414.12,410.4617809,143577.795,1.374245
2014.02.20T03:00:00.000,1066934.04,519.92,85753.3,1.374915
2014.02.20T04:00:00.000,1136051.49,350.5915228,129114.48,1.375365
2014.02.20T05:00:00.000,1096333.275,166.0355294,132808.095,1.375575
2014.02.20T06:00:00.000,1039783.5,-162.2679431,58274.075,1.375375
2014.02.20T07:00:00.000,1023040.92,-231.6200287,118488.78,1.375055
2014.02.20T08:00:00.000,1324941.45,-3185.469248,604156.37,1.371575
2014.02.20T09:00:00.000,1326009.96,-1607.870904,1439714.57,1.369845
2014.02.20T10:00:00.000,10159773.48,969.7879685,16167160.21,1.370165
2014.02.20T11:00:00.000,156100.77,-3596.437706,30146328.33,1.369305
2014.02.20T12:00:00.000,730047.435,161.6556975,3081456.585,1.369695
2014.02.20T13:00:00.000,566014.435,382.3257949,8961811.19,1.370495
2014.02.20T14:00:00.000,1289130.1,738.848056,1161475.765,1.371415
2014.02.20T15:00:00.000,1168496.7,41.49259703,6475544.71,1.371475
2014.02.20T16:00:00.000,3015279.795,-723.0490335,1949720.885,1.371205
2014.02.20T17:00:00.000,835099.15,-2995.634845,7994418.475,1.369015
2014.02.20T18:00:00.000,569967.84,604.350591,1327900.7,1.370115
2014.02.20T19:00:00.000,572963.05,254.0007266,127560.09,1.370725
2014.02.20T20:00:00.000,573435.39,472.34,210919.02,1.371855
2014.02.20T21:00:00.000,572105.235,41.96615231,31012.995,1.371955
2014.02.20T22:00:00.000,589906.25,-34.09038269,2901.335,1.371875
2014.02.20T23:00:00.000,588615.885,81.51767373,36840.505,1.372065
2014.02.21T00:00:00.000,997505.795,65.79430142,418103.21,1.372085
2014.02.21T01:00:00.000,311372.495,-215.4629397,1159724.9,1.371685
2014.02.21T02:00:00.000,308647.125,18.13526299,17773.85,1.371765
2014.02.21T03:00:00.000,315549.65,43.56966546,102923.185,1.371955
2014.02.21T04:00:00.000,534945.45,-97.24629361,382550.6,1.371655
2014.02.21T05:00:00.000,850463.3,36.6986948,329532.88,1.371715
2014.02.21T06:00:00.000,916151.98,-151.3502081,27966.36,1.371485
2014.02.21T07:00:00.000,659828.585,184.088876,348750.405,1.371785
2014.02.21T08:00:00.000,9599.625,-139.5885616,2023560.23,1.371375
2014.02.21T09:00:00.000,363332.225,37.97475218,1284657.21,1.371065
2014.02.21T10:00:00.000,1024663.635,466.2101434,2018102.07,1.371705
2014.02.21T11:00:00.000,141203.215,-652.7531902,6919757,1.370905
2014.02.21T12:00:00.000,7035674.775,-565.7099619,28809955.87,1.370675
2014.02.21T13:00:00.000,26598467,3258.198328,20398086.08,1.371055
2014.02.21T14:00:00.000,918888.25,-1861.569602,26526464.65,1.371475
2014.02.21T15:00:00.000,421988.385,944.4137406,4681416.845,1.374555
2014.02.21T16:00:00.000,421963.825,-19.47039737,158219.43,1.374475
2014.02.21T17:00:00.000,495373.225,-714.004182,487972.85,1.372225
2014.02.21T18:00:00.000,428546.04,459.6913879,792527.755,1.373545
2014.02.21T19:00:00.000,200612.03,177.9626332,795757.66,1.374055
2014.02.21T20:00:00.000,-15118.125,5.432572655,308944.035,1.374375
2014.02.21T21:00:00.000,-16485.06,7.414979175,157937.105,1.373755
2014.02.23T22:00:00.000,-23356.385,-1.227610554,114107.875,1.373905
2014.02.23T23:00:00.000,-20607.675,1.155525595,12672.85,1.373845
2014.02.24T00:00:00.000,-50828.935,4.913388752,12586.64,1.373755
2014.02.24T01:00:00.000,-24733.17,-10.02379247,133270.005,1.374065
2014.02.24T02:00:00.000,5492.26,9.766108681,86815.94,1.373065
2014.02.24T03:00:00.000,6868.375,2.658730521,158265.675,1.373675
2014.02.24T04:00:00.000,5494.42,-0.303117185,16630.465,1.373605
2014.02.24T05:00:00.000,149738.205,-5.237043103,180251.505,1.373745
2014.02.24T06:00:00.000,12363.975,-0.650100877,145096.71,1.373775
2014.02.24T07:00:00.000,12367.485,3.51,100388.73,1.374165
2014.02.24T08:00:00.000,287121.065,-92.23666385,176942.34,1.373785
2014.02.24T09:00:00.000,240687.125,313.7038132,701519.67,1.375355
2014.02.24T10:00:00.000,375720.345,168.1299779,388760.61,1.376265
2014.02.24T11:00:00.000,375643.905,-76.44,72221.8,1.375985
2014.02.24T12:00:00.000,340663.96,-614.7574922,431862.275,1.373645
2014.02.24T13:00:00.000,450260.36,-218.321751,122434.4,1.372745
2014.02.24T14:00:00.000,503676.305,-117.3921832,31662.015,1.372415
2014.02.24T15:00:00.000,2938685.185,-2183.429828,2146259.44,1.371295
2014.02.24T16:00:00.000,3309374.765,3063.774393,1100824.08,1.372615
2014.02.24T17:00:00.000,4932560.095,4582.036539,6923745.52,1.374355
2014.02.24T18:00:00.000,1046725.11,-2077.925266,5211439.995,1.373655
2014.02.24T19:00:00.000,713015.175,86.46967487,387836.905,1.373825
2014.02.24T20:00:00.000,391463.175,-82.5228682,281641.08,1.373555
2014.02.24T21:00:00.000,385904.325,-64.6909248,56526.43,1.373325
2014.02.24T22:00:00.000,454633.465,62.02053402,119910.2,1.373515
2014.02.24T23:00:00.000,454597.055,-36.41,29667.55,1.373405
2014.02.25T00:00:00.000,454623.535,26.48,21576.4,1.373485
2014.02.25T01:00:00.000,270525.325,-71.75559537,116635.3,1.373225
2014.02.25T02:00:00.000,245818.015,16.7374469,49149.3,1.373285
2014.02.25T03:00:00.000,177189.885,35.66854603,144240.45,1.373565
2014.02.25T04:00:00.000,175798.4,-17.60248665,22680.425,1.373425
